rowNames	Gene
13007	MANEAL
13008	POU3F1
13009	POU3F1
13012	POU3F1
13013	POU3F1
13018	POU3F1
13019	POU3F1
13250	RHBDL2
13250	AKIRIN1
13443	BMP8A
13489	HEYL
13602	HEYL
13669	AL663070.1
13756	AL031985.2
13765	RLF
13774	SMAP2
13798	SMAP2
13800	ZMPSTE24
13800	AL031985.2
13800	SMAP2
13803	SMAP2
13823	SMAP2
13966	SLFNL1
14050	SCMH1
14445	PPCS
14461	PPCS
14651	AL512353.1
14658	CFAP57
14829	PTPRF
14843	PTPRF
14853	KDM4A
14854	KDM4A
14858	KDM4A
14933	KDM4A
14934	KDM4A
15081	TMEM53
15085	RNU5D-1
15160	TMEM53
15161	TMEM53
15195	TCTEX1D4
15212	TMEM53
15225	RNU5D-1
15256	HECTD3
15630	TSPAN1
15762	DMBX1
15767	DMBX1
15769	DMBX1
15774	CYP4B1
15781	DMBX1
15866	CYP4B1
15889	PDZK1IP1
15923	PDZK1IP1
15924	PDZK1IP1
15925	PDZK1IP1
15927	LINC00853
15928	LINC00853
15928	PDZK1IP1
15930	CMPK1
15977	FOXD2-AS1
15979	FOXD2-AS1
16011	FOXD2
16013	FOXD2
16014	FOXD2
16015	FOXD2
16016	FOXD2
16017	FOXD2
16672	TTC39A-AS1
16682	AL162430.1
16684	TTC39A
16731	TTC39A-AS1
17155	PODN
17195	LRP8
17196	LRP8
17209	CPT2
17257	LRP8
17258	LRP8
17259	CPT2
17259	LRP8
17260	LRP8
17268	LRP8
17274	SLC25A3P1
17391	DIO1
17393	DIO1
17393	HSPB11
17394	DIO1
17394	HSPB11
17395	YIPF1
17395	DIO1
17398	YIPF1
17398	DIO1
17399	YIPF1
17400	YIPF1
17403	YIPF1
17403	DIO1
17403	HSPB11
17404	DIO1
17404	HSPB11
17407	YIPF1
17407	HSPB11
17450	YIPF1
17450	DIO1
17450	HSPB11
17452	YIPF1
17733	PCSK9
17840	RN7SKP291
17972	LINC01755
17977	LINC01755
17978	LINC01755
17980	LINC01755
18033	LINC01755
18130	AC119674.1
18144	PLPP3
18171	PLPP3
18341	FYB2
18535	TACSTD2
18624	AL035411.1
18624	JUN
18645	LINC01135
18669	LINC02777
18787	FGGY
18836	FGGY
18837	FGGY
18841	FGGY
18924	CYP2J2
18927	CYP2J2
18961	CYP2J2
19114	NFIA-AS2
19116	NFIA-AS2
19204	NFIA-AS2
19207	NFIA-AS2
19493	KANK4
19505	KANK4
19519	KANK4
19519	DOCK7
19520	KANK4
19520	DOCK7
19522	KANK4
19522	DOCK7
19523	KANK4
19523	DOCK7
19526	DOCK7
19530	KANK4
19530	DOCK7
19531	KANK4
19534	KANK4
19536	KANK4
19586	USP1
19593	DOCK7
20198	LEPROT
20434	SGIP1
20448	SGIP1
20454	SGIP1
20724	GADD45A
20759	GADD45A
20781	WLS
20797	WLS
20829	WLS
20830	WLS
20835	WLS
20840	WLS
20860	WLS
20861	WLS
20862	WLS
20868	WLS
20883	WLS
20884	WLS
20894	DEPDC1
21039	LRRC7
21044	LRRC7
21045	LRRC7
21046	LRRC7
21047	LRRC7
21048	LRRC7
21049	LRRC7
21056	LRRC7
21059	LRRC7
21592	SLC44A5
21593	SLC44A5
21601	SLC44A5
21620	SLC44A5
21857	ST6GALNAC5
21857	AL035409.1
21860	ST6GALNAC5
21860	AL035409.1
21861	ST6GALNAC5
21861	AL035409.1
21874	ST6GALNAC5
21874	AL035409.1
21875	AL035409.1
21880	ST6GALNAC5
21880	AL035409.1
21882	ST6GALNAC5
21882	AL035409.1
21886	ST6GALNAC5
21886	AL035409.1
21887	ST6GALNAC5
